Date;IGPM;IPCS4;FIPE4;IPCA;IGP10;IPAM;INCCM;IPCA15
2012-05-01;1.02;0.52;0.35;0.36;1.01;1.17;1.30;0.51
2012-06-01;0.66;0.11;0.23;0.08;0.73;0.74;1.31;0.18
2012-07-01;1.34;0.22;0.13;0.43;0.96;1.81;0.85;0.33
2012-08-01;1.43;0.44;0.27;0.41;1.59;1.99;0.32;0.39
2012-09-01;0.97;0.54;0.55;0.57;1.05;1.25;0.21;0.48
2012-10-01;0.02;0.48;0.80;0.59;0.42;-0.20;0.24;0.65
2012-11-01;-0.03;0.45;0.68;0.60;-0.28;-0.19;0.23;0.54
2012-12-01;0.68;0.66;0.78;0.79;0.63;0.73;0.29;0.69
2013-01-01;0.34;1.01;1.15;0.86;0.42;0.11;0.39;0.88
2013-02-01;0.29;0.33;0.22;0.60;0.29;0.21;0.80;0.68
2013-03-01;0.21;0.72;-0.17;0.47;0.22;0.01;0.28;0.49
2013-04-01;0.15;0.52;0.28;0.55;0.18;-0.12;0.84;0.51
2013-05-01;0.00;0.32;0.10;0.37;-0.09;-0.30;1.24;0.46
2013-06-01;0.75;0.35;0.32;0.26;0.63;0.68;1.96;0.38
2013-07-01;0.26;-0.17;-0.13;0.03;0.43;0.30;0.73;0.07
2013-08-01;0.15;0.20;0.22;0.24;0.15;0.14;0.31;0.16
2013-09-01;1.50;0.30;0.25;0.35;1.05;2.11;0.43;0.27
2013-10-01;0.86;0.55;0.48;0.57;1.11;1.09;0.33;0.48
2013-11-01;0.29;0.68;0.46;0.54;0.44;0.17;0.27;0.57
2013-12-01;0.60;0.69;0.65;0.92;0.44;0.63;0.22;0.75
2014-01-01;0.48;0.99;0.94;0.55;0.58;0.31;0.70;0.67
2014-02-01;0.38;0.66;0.52;0.69;0.30;0.27;0.44;0.70
2014-03-01;1.67;0.85;0.74;0.92;1.29;2.20;0.22;0.73
2014-04-01;0.78;0.77;0.53;0.67;1.19;0.79;0.67;0.78
2014-05-01;-0.13;0.52;0.25;0.46;0.13;-0.65;1.37;0.58
2014-06-01;-0.74;0.33;0.04;0.40;-0.67;-1.44;1.25;0.47
2014-07-01;-0.61;0.10;0.16;0.01;-0.56;-1.11;0.80;0.17
2014-08-01;-0.27;0.12;0.34;0.25;-0.55;-0.45;0.19;0.14
2014-09-01;0.20;0.49;0.21;0.57;0.31;0.13;0.16;0.39
2014-10-01;0.28;0.43;0.37;0.42;0.02;0.23;0.20;0.48
2014-11-01;0.98;0.65;0.69;0.51;0.82;1.26;0.30;0.38
2014-12-01;0.62;0.75;0.30;0.78;0.98;0.63;0.25;0.79
2015-01-01;0.76;1.73;1.62;1.24;0.42;0.56;0.70;0.89
2015-02-01;0.27;0.97;1.22;1.22;0.43;-0.09;0.50;1.33
2015-03-01;0.98;1.41;0.70;1.32;0.83;0.92;0.36;1.24
2015-04-01;1.17;0.61;1.10;0.71;1.27;1.41;0.65;1.07
2015-05-01;0.41;0.72;0.62;0.74;0.52;0.30;0.45;0.60
2015-06-01;0.67;0.82;0.47;0.79;0.57;0.41;1.87;0.99
2015-07-01;0.69;0.53;0.85;0.62;0.75;0.73;0.66;0.59
2015-08-01;0.28;0.22;0.56;0.22;0.34;0.20;0.80;0.43
2015-09-01;0.95;0.42;0.66;0.54;0.61;1.30;0.22;0.39
2015-10-01;1.89;0.76;0.88;0.82;1.88;2.63;0.27;0.66
2015-11-01;1.52;1.00;1.06;1.01;1.64;1.93;0.40;0.85
2015-12-01;0.49;0.88;0.82;0.96;0.81;0.39;0.12;1.18
2016-01-01;1.14;1.78;1.37;1.27;0.69;1.14;0.32;0.92
2016-02-01;1.29;0.76;0.89;0.90;1.55;1.45;0.52;1.42
2016-03-01;0.51;0.50;0.97;0.43;0.58;0.44;0.79;0.43
2016-04-01;0.33;0.49;0.46;0.61;0.40;0.29;0.41;0.51
2016-05-01;0.82;0.64;0.57;0.78;0.60;0.98;0.19;0.86
2016-06-01;1.69;0.26;0.65;0.35;1.42;2.21;1.52;0.40
2016-07-01;0.18;0.37;0.35;0.52;1.06;-0.01;1.09;0.54
2016-08-01;0.15;0.32;0.11;0.44;-0.27;0.04;0.26;0.45
2016-09-01;0.20;0.07;-0.14;0.08;0.36;0.18;0.37;0.23
2016-10-01;0.16;0.34;0.27;0.26;0.12;0.15;0.17;0.19
2016-11-01;-0.03;0.17;0.15;0.18;0.06;-0.16;0.17;0.26
2016-12-01;0.54;0.33;0.72;0.30;0.20;0.69;0.36;0.19
2017-01-01;0.64;0.69;0.32;0.38;0.88;0.70;0.29;0.31
2017-02-01;0.08;0.31;-0.08;0.33;0.14;-0.09;0.53;0.54
2017-03-01;0.01;0.47;0.14;0.25;0.05;-0.17;0.36;0.15
2017-04-01;-1.10;0.12;0.61;0.14;-0.76;-1.77;-0.08;0.21
2017-05-01;-0.93;0.52;-0.05;0.31;-1.10;-1.56;0.13;0.24
2017-06-01;-0.67;-0.32;0.05;-0.23;-0.62;-1.22;1.36;0.16
2017-07-01;-0.72;0.38;-0.01;0.24;-0.84;-1.16;0.22;-0.18
2017-08-01;0.10;0.13;0.10;0.19;-0.17;-0.05;0.40;0.35
2017-09-01;0.47;-0.02;0.02;0.16;0.39;0.74;0.14;0.11
2017-10-01;0.20;0.33;0.32;0.42;0.49;0.16;0.19;0.34
2017-11-01;0.52;0.36;0.29;0.28;0.24;0.66;0.28;0.32
2017-12-01;0.89;0.21;0.55;0.44;0.90;1.24;0.14;0.35
